Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,CatAge,CatFare
0.0,3,male,22.0,1,0,7.25,S,Mr,Child,Low
1.0,1,female,38.0,1,0,71.2833,C,Mrs,Senior,VeryHigh
1.0,3,female,26.0,0,0,7.925,S,Miss,YoungAdult,Medium
1.0,1,female,35.0,1,0,53.1,S,Mrs,Adult,VeryHigh
0.0,3,male,35.0,0,0,8.05,S,Mr,Adult,Medium
0.0,3,male,28.0,0,0,8.4583,Q,Mr,YoungAdult,Medium
0.0,1,male,54.0,0,0,51.8625,S,Mr,Senior,VeryHigh
0.0,3,male,2.0,3,1,21.075,S,Unique,Child,High
1.0,3,female,27.0,0,2,11.1333,S,Mrs,YoungAdult,Medium
1.0,2,female,14.0,1,0,30.0708,C,Mrs,Child,High
1.0,3,female,4.0,1,1,16.7,S,Miss,Child,High
1.0,1,female,58.0,0,0,26.55,S,Miss,Senior,High
0.0,3,male,20.0,0,0,8.05,S,Mr,Child,Medium
0.0,3,male,39.0,1,5,31.275,S,Mr,Senior,High
0.0,3,female,14.0,0,0,7.8542,S,Miss,Child,Low
1.0,2,female,55.0,0,0,16.0,S,Mrs,Senior,High
0.0,3,male,2.0,4,1,29.125,Q,Unique,Child,High
1.0,2,male,28.0,0,0,13.0,S,Mr,YoungAdult,Medium
0.0,3,female,31.0,1,0,18.0,S,Mrs,Adult,High
1.0,3,female,28.0,0,0,7.225,C,Mrs,YoungAdult,Low
0.0,2,male,35.0,0,0,26.0,S,Mr,Adult,High
1.0,2,male,34.0,0,0,13.0,S,Mr,Adult,Medium
1.0,3,female,15.0,0,0,8.0292,Q,Miss,Child,Medium
1.0,1,male,28.0,0,0,35.5,S,Mr,YoungAdult,VeryHigh
0.0,3,female,8.0,3,1,21.075,S,Miss,Child,High
1.0,3,female,38.0,1,5,31.3875,S,Mrs,Senior,VeryHigh
0.0,3,male,28.0,0,0,7.225,C,Mr,YoungAdult,Low
0.0,1,male,19.0,3,2,263.0,S,Mr,Child,VeryHigh
1.0,3,female,28.0,0,0,7.8792,Q,Miss,YoungAdult,Low
0.0,3,male,28.0,0,0,7.8958,S,Mr,YoungAdult,Low
0.0,1,male,40.0,0,0,27.7208,C,Unique,Senior,High
1.0,1,female,28.0,1,0,146.5208,C,Mrs,YoungAdult,VeryHigh
1.0,3,female,28.0,0,0,7.75,Q,Miss,YoungAdult,Low
0.0,2,male,66.0,0,0,10.5,S,Mr,Senior,Medium
0.0,1,male,28.0,1,0,82.1708,C,Mr,YoungAdult,VeryHigh
0.0,1,male,42.0,1,0,52.0,S,Mr,Senior,VeryHigh
1.0,3,male,28.0,0,0,7.2292,C,Mr,YoungAdult,Low
0.0,3,male,21.0,0,0,8.05,S,Mr,Child,Medium
