Outlet_Size,Outlet_Location_Type,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Type,Item_Outlet_Sales
High,Tier 3,Low Fat,0.143164371,Household,34.919,OUT013,Supermarket Type1,73.238
Medium,Tier 3,Regular,0.046277956,Frozen Foods,36.7506,OUT018,Supermarket Type2,75.9012
Medium,Tier 3,Low Fat,0.012769753,Meat,39.9822,OUT018,Supermarket Type2,78.5644
Small,Tier 1,Low Fat,0.108030434,Household,32.4558,OUT046,Supermarket Type1,101.8674
Medium,Tier 1,Low Fat,0.012167793,Fruits and Vegetables,37.4848,OUT049,Supermarket Type1,111.8544
Small,Tier 2,Low Fat,0.04874969,Fruits and Vegetables,37.5506,OUT035,Supermarket Type1,113.8518
Medium,Tier 3,Regular,0.106097275,Fruits and Vegetables,43.2796,OUT018,Supermarket Type2,123.8388
Medium,Tier 3,Low Fat,0.066200667,Household,61.451,OUT018,Supermarket Type2,126.502
High,Tier 3,Regular,0.03828933,Baking Goods,64.751,OUT013,Supermarket Type1,126.502
Small,Tier 2,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,Supermarket Type1,133.16
High,Tier 3,Low Fat,0.017141985,Dairy,50.035,OUT013,Supermarket Type1,149.805
High,Tier 3,Low Fat,0.101689151,Dairy,54.6956,OUT013,Supermarket Type1,163.7868
High,Tier 3,Regular,0.07665661,Snack Foods,32.3558,OUT013,Supermarket Type1,169.779
High,Tier 3,Regular,0.061124626,Breakfast,58.5588,OUT013,Supermarket Type1,171.7764
Small,Tier 1,Low Fat,0.047897663,Health and Hygiene,44.677,OUT046,Supermarket Type1,173.108
Small,Tier 2,Regular,0.115570552,Fruits and Vegetables,57.5246,OUT035,Supermarket Type1,173.7738
High,Tier 3,Low Fat,0.041907414,Snack Foods,43.8428,OUT013,Supermarket Type1,175.7712
High,Tier 3,Regular,0.0,Snack Foods,57.3562,OUT013,Supermarket Type1,177.7686
High,Tier 3,Regular,0.02076385,Canned,89.0488,OUT013,Supermarket Type1,181.0976
High,Tier 3,Regular,0.061045133,Meat,44.7744,OUT013,Supermarket Type1,181.0976
Medium,Tier 3,Regular,0.028238317,Fruits and Vegetables,46.3744,OUT018,Supermarket Type2,181.0976
Medium,Tier 3,Low Fat,0.012198395,Fruits and Vegetables,37.4848,OUT018,Supermarket Type2,186.424
Medium,Tier 3,Low Fat,0.169139066,Frozen Foods,46.406,OUT018,Supermarket Type2,186.424
Small,Tier 1,Regular,0.03922186,Snack Foods,97.241,OUT046,Supermarket Type1,193.082
High,Tier 3,Low Fat,0.143303291,Health and Hygiene,96.341,OUT013,Supermarket Type1,193.082
Small,Tier 1,Low Fat,0.03749705,Baking Goods,49.9034,OUT046,Supermarket Type1,194.4136
Medium,Tier 3,Regular,0.154120252,Canned,51.935,OUT018,Supermarket Type2,199.74
Medium,Tier 3,Regular,0.134870732,Canned,41.948,OUT018,Supermarket Type2,199.74
Small,Tier 1,Low Fat,0.152058281,Breakfast,99.9358,OUT046,Supermarket Type1,201.0716
Medium,Tier 1,Low Fat,0.073524776,Seafood,34.8216,OUT049,Supermarket Type1,207.7296
High,Tier 3,Low Fat,0.016006626,Household,105.6964,OUT013,Supermarket Type1,210.3928
High,Tier 3,Low Fat,0.011180713,Others,53.8614,OUT013,Supermarket Type1,221.0456
Medium,Tier 3,Low Fat,0.071282168,Household,74.4696,OUT018,Supermarket Type2,223.7088
High,Tier 3,Low Fat,0.048718334,Fruits and Vegetables,38.7506,OUT013,Supermarket Type1,227.7036
High,Tier 3,Low Fat,0.058083831,Snack Foods,113.6834,OUT013,Supermarket Type1,230.3668
Small,Tier 2,Low Fat,0.130390458,Baking Goods,77.2328,OUT035,Supermarket Type1,231.6984
Small,Tier 1,Low Fat,0.024226902,Dairy,48.7718,OUT046,Supermarket Type1,236.359
Medium,Tier 3,Low Fat,0.051871718,Breads,35.3558,OUT018,Supermarket Type2,237.6906
Medium,Tier 1,Regular,0.082394321,Baking Goods,48.5034,OUT049,Supermarket Type1,243.017
Medium,Tier 1,Low Fat,0.045378573,Dairy,42.4138,OUT049,Supermarket Type1,243.6828
Medium,Tier 3,Low Fat,0.024756031,Soft Drinks,83.8592,OUT018,Supermarket Type2,247.6776
Medium,Tier 3,Low Fat,0.075501241,Snack Foods,123.1046,OUT018,Supermarket Type2,249.0092
High,Tier 3,Low Fat,0.03736783,Canned,86.9224,OUT013,Supermarket Type1,255.6672
Small,Tier 2,Low Fat,0.161458973,Fruits and Vegetables,37.819,OUT035,Supermarket Type1,256.333
High,Tier 3,Regular,0.0,Canned,88.5198,OUT013,Supermarket Type1,261.6594
High,Tier 3,Low Fat,0.063122753,Breakfast,131.3626,OUT013,Supermarket Type1,262.3252
Medium,Tier 3,Regular,0.0,Baking Goods,132.5626,OUT018,Supermarket Type2,262.3252
Medium,Tier 1,Regular,0.062321222,Baking Goods,87.2514,OUT049,Supermarket Type1,265.6542
Medium,Tier 3,Low Fat,0.048957533,Fruits and Vegetables,37.8506,OUT018,Supermarket Type2,265.6542
Small,Tier 1,Regular,0.110030997,Frozen Foods,37.2506,OUT046,Supermarket Type1,265.6542
Small,Tier 2,Low Fat,0.043226398,Starchy Foods,37.5164,OUT035,Supermarket Type1,270.3148
Small,Tier 2,Low Fat,0.035057688,Dairy,91.612,OUT035,Supermarket Type1,279.636
Small,Tier 2,Low Fat,0.0,Fruits and Vegetables,57.1272,OUT035,Supermarket Type1,279.636
High,Tier 3,Low Fat,0.077169841,Health and Hygiene,55.593,OUT013,Supermarket Type1,282.965
Medium,Tier 3,Low Fat,0.032754431,Health and Hygiene,140.5154,OUT018,Supermarket Type2,283.6308
High,Tier 3,Low Fat,0.029760052,Fruits and Vegetables,38.7138,OUT013,Supermarket Type1,284.2966
Small,Tier 2,Regular,0.107036943,Fruits and Vegetables,144.2786,OUT035,Supermarket Type1,288.9572
Small,Tier 2,Low Fat,0.03748996,Baking Goods,48.6034,OUT035,Supermarket Type1,291.6204
Medium,Tier 1,Low Fat,0.056379439,Frozen Foods,42.7454,OUT049,Supermarket Type1,293.6178
Medium,Tier 3,Low Fat,0.008871687,Frozen Foods,99.7384,OUT018,Supermarket Type2,295.6152
High,Tier 3,Low Fat,0.160529322,Household,59.2562,OUT013,Supermarket Type1,296.281
Medium,Tier 3,Regular,0.031573246,Canned,99.47,OUT018,Supermarket Type2,299.61
Medium,Tier 1,Low Fat,0.143351652,Frozen Foods,62.0878,OUT049,Supermarket Type1,302.939
Small,Tier 2,Low Fat,0.0,Baking Goods,152.6024,OUT035,Supermarket Type1,303.6048
High,Tier 3,Regular,0.0,Frozen Foods,39.7506,OUT013,Supermarket Type1,303.6048
High,Tier 3,Low Fat,0.0,Dairy,151.934,OUT013,Supermarket Type1,306.268
High,Tier 3,Low Fat,0.027041859,Meat,77.567,OUT013,Supermarket Type1,306.268
High,Tier 3,Low Fat,0.09261307,Dairy,76.367,OUT013,Supermarket Type1,306.268
High,Tier 3,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,Supermarket Type1,308.9312
Small,Tier 1,Low Fat,0.019372253,Hard Drinks,40.6164,OUT046,Supermarket Type1,308.9312
High,Tier 3,Low Fat,0.098910759,Frozen Foods,37.6164,OUT013,Supermarket Type1,308.9312
High,Tier 3,Regular,0.009051307,Canned,103.099,OUT013,Supermarket Type1,309.597
Small,Tier 2,Regular,0.09644909,Dairy,43.8086,OUT035,Supermarket Type1,312.2602
Medium,Tier 3,Regular,0.136328794,Frozen Foods,54.864,OUT018,Supermarket Type2,319.584
Medium,Tier 1,Low Fat,0.108879177,Snack Foods,161.5578,OUT049,Supermarket Type1,320.9156
High,Tier 3,Low Fat,0.020542737,Others,80.5618,OUT013,Supermarket Type1,322.2472
High,Tier 3,Low Fat,0.037864854,Meat,63.0826,OUT013,Supermarket Type1,322.913
Small,Tier 1,Low Fat,0.075735621,Health and Hygiene,34.5532,OUT046,Supermarket Type1,323.5788
High,Tier 3,Regular,0.013584408,Fruits and Vegetables,107.7596,OUT013,Supermarket Type1,323.5788
Medium,Tier 1,Low Fat,0.075675438,Hard Drinks,53.3614,OUT049,Supermarket Type1,331.5684
Medium,Tier 3,Regular,0.010963269,Meat,110.9544,OUT018,Supermarket Type2,335.5632
High,Tier 3,Regular,0.159595473,Frozen Foods,32.8558,OUT013,Supermarket Type1,339.558
